TRIANGLE: P = 281; S = 828
TRIANGLE: P = 28284271247461900976033774484193961571392; S = 0
CIRCLE: P = 62831853717958000000000000000000; S = 31415926535897900000000000000000000000000000000000000000000000000
CIRCLE: P = 6283185371795800000000000000000000000000; S = 314159265358979000000000000000000000000000000000000000000000000000000000000000000
CIRCLE: P = 628318537179580000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000; S = 3141592653589790000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
CIRCLE: P = 314; S = 7853
RECTANGLE: P = 0; S = 90000
RECTANGLE: P = 0; S = 900000000000000000000000000000000000000000000000000000000000000000000000000000000
TRIANGLE: P = 28284271247461900976033774484193961571392; S = 0
TRIANGLE: P = 34142135623730950488016887242096980785696; S = 49999999999999999999999999999999999999999999999999999999999999999999999999999999
CIRCLE: P = 314159265358979000000000000000000000000000; S = 7853981633974475000000000000000000000000000000000000000000000000000000000000000000
